WHO_REGION,Name,Cases - cumulative total per 100000 population,Deaths - cumulative total per 100000 population,COUNTRY,PERSONS_FULLY_VACCINATED_PER100,NUMBER_VACCINES_TYPES_USED
AMRO,Turks and Caicos Islands,14995.609,90.397,Turks and Caicos Islands,74.412,1
AMRO,United States of America,23156.837,273.701,United States of America,62.644,3
AMRO,Uruguay,21577.785,192.761,Uruguay,77.558,3
AMRO,Venezuela (Bolivarian Republic of),1760.255,19.38,Venezuela (Bolivarian Republic of),49.721,6
AMRO,Afghanistan,435.282,19.207,Afghanistan,10.172,4
EMRO,Bahrain,25965.649,83.335,Bahrain,70.31,8
EMRO,Djibouti,1571.559,19.13,Djibouti,9.252,6
EMRO,Egypt,436.127,22.583,Egypt,27.792,6
EMRO,Iran (Islamic Republic of),8013.182,158.697,Iran (Islamic Republic of),64.856,6
EMRO,Iraq,5638.002,61.224,Iraq,15.514,4
EMRO,Jordan,13896.613,131.636,Jordan,41.883,6
EMRO,Kuwait,13906.548,58.938,Kuwait,76.4,5
EMRO,Lebanon,14549.894,143.126,Lebanon,31.926,4
EMRO,Libya,6742.851,88.877,Libya,14.909,7
EMRO,Morocco,3118.568,42.53,Morocco,62.859,5
EMRO,"occupied Palestinian territory, including east Jerusalem",11763.954,102.227,occupied Palestinian territory,29.995,8
EMRO,Oman,7069.227,82.148,Oman,58.104,5
EMRO,Pakistan,667.327,13.422,Pakistan,40.088,8
EMRO,Qatar,12110.989,22.735,Qatar,,4
EMRO,Saudi Arabia,2073.892,25.751,Saudi Arabia,68.418,4
EMRO,Somalia,164.869,8.431,Somalia,5.474,4
EMRO,Sudan,135.749,8.584,Sudan,4.523,5
EMRO,Syrian Arab Republic,298.52,17.239,Syrian Arab Republic,6.332,6
EMRO,Tunisia,8078.152,227.514,Tunisia,53.087,7
EMRO,United Arab Emirates,8736.773,23.032,United Arab Emirates,,5
EMRO,Yemen,38.906,7.017,Yemen,1.203,3
EURO,Albania,9278.616,118.215,Albania,40.377,5
EURO,Andorra,47982.916,191.549,Andorra,69.711,3
EURO,Armenia,13579.859,274.869,Armenia,28.27,5
EURO,Austria,24723.606,154.937,Austria,72.58,4
EURO,Azerbaijan,7158.146,88.488,Azerbaijan,45.895,4
EURO,Belarus,8526.02,65.656,Belarus,44.805,2
EURO,Belgium,29558.314,256.569,Belgium,76.913,4
EURO,Bosnia and Herzegovina,11009.124,455.314,Bosnia and Herzegovina,25.789,4
EURO,Bulgaria,14746.913,492.384,Bulgaria,28.943,4
EURO,Croatia,24760.058,353.091,Croatia,54.278,4
EURO,Cyprus,31920.766,87.387,Cyprus,72.67,4
EURO,Czechia,31448.216,352.648,Czechia,63.373,4
EURO,Denmark,37723.603,68.301,Denmark,81.213,4
EURO,Estonia,30866.622,158.016,Estonia,60.903,4
EURO,Faroe Islands,55254.272,45.022,Faroe Islands,83.622,2
EURO,Finland,10315.708,39.274,Finland,74.832,4
EURO,France,31938.419,201.962,France,76.674,4
EURO,Georgia,35546.874,387.524,Georgia,28.046,4
EURO,Germany,14440.528,143.903,Germany,73.971,4
EURO,Gibraltar,42052.774,299.783,Gibraltar,120.928,1
EURO,Greece,19864.161,228.641,Greece,68.609,4
EURO,Greenland,20096.174,12.33,Greenland,67.597,1
EURO,Guernsey,19079.233,48.086,Guernsey,,3
EURO,Hungary,17360.013,433.593,Hungary,61.914,7
